SENSOR_ID,SENSOR_NAVN,LATITUDE,LONGITUDE,STREKNING_NAVN,FORMAT,SENSOR_STATUS,SENSOR_TYPE,OPPLOSNING
300233,R3 v/Nydalsbrua,6653775.0,263711.22,RV150 HP 1 Meter 4758,Datainn,OK,Bil,Enkeltkjøret
302256,E6 Ekebergtunnelen,6647842.0,263693.72,EV6 HP 51 Meter 4602,Datainn,Ute av drift,Bil,Enkeltkjøret
302257,R3 Økern-Sinsen,6651391.5,265386.84,RV150 HP 1 Meter 1608,Datainn,OK,Bil,Enkeltkjøret
303027,E18 Festningstunnelen,6649020.0,261637.92,EV18 HP 2 Meter 2020,Nortraf,NULL,Bil,15 minutter
300157,E6 Alnabru S,6650223.0,267415.70,EV6 HP 2 Meter 100,Datainn,OK,Bil,Enkeltkjøret
300158,E6 Alnabru N,6650221.0,267435.66,EV6 HP 2 Meter 120,Datainn,OK,Bil,Enkeltkjøret
100002,E18 Elvestad Vest,,,NULL,NULL,NULL,Bil,NULL
100008,E6 Storebaug,,,NULL,NULL,NULL,Bil,NULL
200006,E6/E18 Vinterbru,,,NULL,NULL,NULL,Bil,NULL
200009,E6 Ski Flatåser,,,NULL,NULL,NULL,Bil,NULL
200015,Rv 22 Kringen,,,NULL,NULL,NULL,Bil,NULL
200160,Rv 4 Gjelleråsen,,,NULL,NULL,NULL,Bil,NULL
200200,E6 Kløfta S,,,NULL,NULL,NULL,Bil,NULL
200209,E6 Hvam S,,,NULL,NULL,NULL,Bil,NULL
200210,E6 Hvam N,,,NULL,NULL,NULL,Bil,NULL
200221,E18 Holstad klima,,,NULL,NULL,NULL,Bil,NULL
200225,Rv 159 Visperud,,,NULL,NULL,NULL,Bil,NULL
200228,E6 Follotunnelen,,,NULL,NULL,NULL,Bil,NULL
200229,Rv 159 Rælingstunnelen,,,NULL,NULL,NULL,Bil,NULL
200244,Rv 23 Oslofjordtunnelen,,,NULL,NULL,NULL,Bil,NULL
200245,Rv 23 Frogntunnelen,,,NULL,NULL,NULL,Bil,NULL
200801,E18 Startour,,,NULL,NULL,NULL,Bil,NULL
200804,E18 Ramstadsletta,,,NULL,NULL,NULL,Bil,NULL
202188,Rv 22 Statoil (Fetsund),,,NULL,NULL,NULL,Bil,NULL
202196,Fv 22 Gjellerosen,,,NULL,NULL,NULL,Bil,NULL
209570,E16 Brovoll,,,NULL,NULL,NULL,Bil,NULL
209905,Fv 120 Kirkebygda,,,NULL,NULL,NULL,Bil,NULL
66921,Torggata Fotgjenger,,,Torggata Fotgjenger,InfraC,,Fotgj,Enkelt
66923,Torggata Syklist,,,Torggata Syklist,InfraC,,Sykkel,Enkelt
66925,Ensjøveien,,,Ensjøveien,InfraC,,Bil,Enkelt
66927,Slemdalsveien,,,Slemdalsveien,InfraC,,Bil,Enkelt
66929,KV168 Sørkedalsveien ved Borgen stasjon,,,KV168 Sørkedalsveien ved Borgen stasjon,InfraC,,Bil,Enkelt
66931,Ring 2 ved Marienlyst,,,Ring 2 ved Marienlyst,InfraC,,Bil,Enkelt
66933,Ring 2 ved Frognerparken,,,Ring 2 ved Frognerparken,InfraC,,Bil,Enkelt
66935,Østensjøveien nr 5,,,Østensjøveien nr 5,InfraC,,Bil,Enkelt
66937,KV160 Vækerøveien ved Ullernchausseen,,,Ensjøveien,InfraC,,Bil,Enkelt
66939,Ring 2 ved Vøyenbrua,,,Ring 2 ved Vøyenbrua,InfraC,,Bil,Enkelt
75985,Torggata Kjøretøy,,,Torggata Kjøretøy,InfraC,,Bil,Enkelt
76931,Sørkedalsveien ved Makrellbekken,,,Sørkedalsveien ved Makrellbekken,InfraC,,Bil,Enkelt
83231,Bygdøy alle,,,Bygdøy alle,InfraC,,Bil,Enkelt
83233,Nylandsveien,,,Nylandsveien,InfraC,,Bil,Enkelt
84239,Maridalsveien,,,Maridalsveien,InfraC,,Bil,Enkelt
84240,Finnmarksgata,,,Finnmarksgata,InfraC,,Bil,Enkelt
85167,Hellerudveien,,,Hellerudveien,InfraC,,Bil,Enkelt
85168,General Ruges vei,,,General Ruges vei,InfraC,,Bil,Enkelt
85169,Tvetenveien ved Haugerud,,,Tvetenveien ved Haugerud,InfraC,,Bil,Enkelt
85461,Plogveien,,,Plogveien,InfraC,,Bil,Enkelt
85462,Enebakkveien,,,Enebakkveien,InfraC,,Bil,Enkelt
85468,Østensjøveien 50 Brynseng,,,Østensjøveien 50 Brynseng,InfraC,,Bil,Enkelt
85772,Lambertseterveien,,,Lambertseterveien,InfraC,,Bil,Enkelt
85977,Vekterveien 6,,,Vekterveien 6,InfraC,,Bil,Enkelt
95132,Østensjøveien ved Østensjø skole,,,Østensjøveien ved Østensjø skole,InfraC,,Sykkel,Enkelt
10000010,Akerselva ved Vøyenbrua,,,Akerselva ved Vøyenbrua,ECOS,,Sykkel,enkelt
10000030,Bislettgata 6,,,Bislettgata 6,ECOS,,Sykkel,enkelt
10000060,Bispegata,,,Bispegata,ECOS,,Sykkel,enkelt
10000090,Bygdøy alle 13,,,Bygdøy alle 13,ECOS,,Sykkel,enkelt
10000120,Bærumsveien 22,,,Bærumsveien 22,ECOS,,Sykkel,enkelt
10000150,Chr Michelsens gt nordside,,,Chr Michelsens gt nordside,ECOS,,Sykkel,enkelt
10000180,Chr Michelsens gt sydside,,,Chr Michelsens gt sydside,ECOS,,Sykkel,enkelt
10000210,Ekebergvn 160,,,Ekebergvn 160,ECOS,,Sykkel,enkelt
10000240,Grenseveien gang og sykkelbro,,,Grenseveien gang og sykkelbro,ECOS,,Sykkel,enkelt
10000270,Griffenfeldts gate,,,Griffenfeldts gate,ECOS,,Sykkel,enkelt
10000300,Hoffsveien,,,Hoffsveien,ECOS,,Sykkel,enkelt
10000330,Holmenkollvn 42,,,Holmenkollvn 42,ECOS,,Sykkel,enkelt
10000360,Jon Smestads vei 4,,,Jon Smestads vei 4,ECOS,,Sykkel,enkelt
10000390,Kierschowsgate 10,,,Kierschowsgate 10,ECOS,,Sykkel,enkelt
10000420,Kongsveien,,,Kongsveien,ECOS,,Sykkel,enkelt
10000450,Maridalsvn nord for Fredensborgvn,,,Maridalsvn nord for Fredensborgvn,ECOS,,Sykkel,enkelt
10000480,Maridalsvn ved Korsvollbakken,,,Maridalsvn ved Korsvollbakken,ECOS,,Sykkel,enkelt
10000510,Monolittvn ved Frognerparken,,,Monolittvn ved Frognerparken,ECOS,,Sykkel,enkelt
10000540,Nordstrandveien 59,,,Nordstrandveien 59,ECOS,,Sykkel,enkelt
10000570,Ring 2 Kirkevn ved Sigyns gt.,,,Ring 2 Kirkevn ved Sigyns gt.,ECOS,,Sykkel,enkelt
10000590,Ring 2 Marienlyst ved Schønings gt,,,Ring 2 Marienlyst ved Schønings gt,ECOS,,Sykkel,enkelt
10000610,Rådhusgata 28,,,Rådhusgata 28,ECOS,,Sykkel,enkelt
10000640,Thorvald Meyers gt. 10,,,Thorvald Meyers gt. 10,ECOS,,Sykkel,enkelt
10000670,Trasop skole,,,Trasop skole,ECOS,,Sykkel,enkelt
10000700,Tvetenveien,,,Tvetenveien,ECOS,,Sykkel,enkelt
10000730,Tåsenveien 43,,,Tåsenveien 43,ECOS,,Sykkel,enkelt
10000760,Ullern gårdsvei 40,,,Ullern gårdsvei 40,ECOS,,Sykkel,enkelt
10000790,Ullevålsvn 19,,,Ullevålsvn 19,ECOS,,Sykkel,enkelt
10000820,Vaterlands bro,,,Vaterlands bro,ECOS,,Sykkel,enkelt
10000850,Vækerøveien 146A,,,Vækerøveien 146A,ECOS,,Sykkel,enkelt
10000880,Waldemar Thranes gt,,,Waldemar Thranes gt,ECOS,,Sykkel,enkelt
10000910,Wergelandsveien,,,Wergelandsveien,ECOS,,Sykkel,enkelt
10000940,Åkebergveien 28,,,Åkebergveien 28,ECOS,,Sykkel,enkelt
10000970,Østensjøvn ved Brynseng,,,Østensjøvn ved Brynseng,ECOS,,Sykkel,enkelt
10001000,Østensjøvn ved Østensjøvannet,,,Østensjøvn ved Østensjøvannet,ECOS,,Sykkel,enkelt
